,Cluster,Companies
401,1,9898
402,1,9389
403,1,11218
404,1,61446
405,1,9365
406,1,11104
407,1,65452
408,1,11073
409,1,9926
410,1,6178
411,1,11004
412,1,6197
413,1,9927
414,1,9360
415,1,6011
416,1,38762
417,1,5735
418,1,38519
419,1,9702
420,1,114403
421,1,9781
422,1,9783
423,1,9844
424,1,9572
425,1,5690
426,1,9541
427,1,5703
428,1,408
429,1,40167
430,1,9504
431,1,9888
432,1,9889
433,1,36709
434,1,5708
435,1,9891
436,1,36711
437,1,11249
438,1,36726
439,1,5734
440,1,37960
441,1,9882
442,1,40418
443,1,9916
444,1,64201
445,1,40962
446,1,93
447,1,6336
448,1,41179
449,1,61448
450,1,352
451,1,10878
452,1,94
453,1,9981
454,1,10835
455,1,10860
456,1,6337
457,1,40419
458,1,6202
459,1,61468
460,1,10863
461,1,64200
462,1,9928
463,1,9936
464,1,9357
465,2,1546
466,2,1967
467,2,49605
468,2,34884
469,2,1417
470,2,1770
471,2,1638
472,2,221
473,2,1531
474,2,1308
475,2,1954
476,2,1945
477,2,102
478,2,1936
479,2,9534
480,2,38
481,2,1593
482,2,1720
483,2,10459
484,2,2013
485,2,1266
486,2,17476
487,2,1596
488,2,9638
489,2,240
490,2,239
491,2,1430
492,2,1448
493,2,1748
494,2,1280
495,2,1565
496,2,1563
497,2,1751
498,2,1987
499,2,1450
500,2,1618
501,2,9996
502,2,1431
503,2,13975
504,2,14655
505,2,208
506,2,34594
507,2,1470
508,2,180
509,2,1351
510,2,1352
511,2,178
512,2,9925
513,2,51255
514,2,1660
515,2,173
516,2,1695
517,2,9037
518,2,1471
519,2,1828
520,2,1674
521,2,16766
522,2,1498
523,2,1497
524,2,1835
525,2,16007
526,2,1380
527,2,9039
528,2,1652
529,2,1697
530,2,1886
531,2,211
532,2,101
533,2,1456
534,2,1529
535,2,1493
536,2,1776
537,2,16967
538,2,1526
539,2,14872
540,2,1914
541,2,199
542,2,1794
543,2,1796
544,2,1339
545,2,1404
546,2,9258
547,2,1647
548,2,1463
549,2,118397
550,2,10099
551,2,148
552,2,1714
553,2,13606
554,2,36679
555,2,581
556,2,566
557,2,562
558,2,561
559,2,1587
560,2,10815
561,2,556
562,2,4356
563,2,41556
564,2,4427
565,2,348
566,2,349
567,2,4572
568,2,4587
569,2,527
570,2,4772
571,2,359
572,2,4435
573,2,6203
574,2,6373
575,2,3109
576,2,6599
577,2,1144
578,2,2185
579,2,2674
580,2,1133
581,2,2702
582,2,602
583,2,572
584,2,590
585,2,332
586,2,35852
587,2,334
588,2,583
589,2,2904
590,2,2023
591,2,579
592,2,588
593,2,4791
594,2,514
595,2,4800
596,2,407
597,2,449
598,2,11523
599,2,446
600,2,11502
601,2,5701
602,2,437
603,2,451
604,2,36683
605,2,5312
606,2,5317
607,2,428
608,2,426
609,2,416
610,2,423
611,2,5565
612,2,5310
613,2,5709
614,2,5166
615,2,462
616,2,509
617,2,508
618,2,4853
619,2,6201
620,2,4909
621,2,4934
622,2,11577
623,2,4985
624,2,483
625,2,482
626,2,6029
627,2,477
628,2,382
629,2,475
630,2,383
631,2,390
632,2,6010
633,2,6620
634,2,6630
635,2,1662
636,2,2169
637,2,1244
638,2,10551
639,2,1220
640,2,2035
641,2,10492
642,2,2042
643,2,1180
644,2,35197
645,2,6828
646,2,2045
647,2,12603
648,2,1236
649,2,6942
650,2,13285
651,2,290
652,2,2033
653,2,35196
654,2,6814
655,2,2157
656,2,1253
657,2,2167
658,2,1249
659,2,298
660,2,12513
661,2,2139
662,2,13045
663,2,1252
664,2,1251
665,3,11697
666,3,11671
667,3,11625
668,3,1693
669,3,6151
670,3,16790
671,3,1666
672,3,1968
673,3,6890
674,3,1700
675,3,1678
676,3,11613
677,3,4792
678,3,1694
679,3,9349
680,3,2074
681,3,1679
682,3,11780
683,3,4945
684,3,11774
685,3,1681
686,3,14161
687,3,1956
688,3,9358
689,3,6855
690,3,4834
691,3,10345
692,3,11758
693,3,7230
694,3,16892
695,3,5278
696,3,1622
697,3,11435
698,3,13527
699,3,2010
700,3,11301
701,3,1632
702,3,11308
703,3,1606
704,3,17411
705,3,13742
706,3,5437
707,3,13584
708,3,2020
709,3,13827
710,3,10419
711,3,5179
712,3,2000
713,3,16896
714,3,1977
715,3,9367
716,3,9901
717,3,4990
718,3,7325
719,3,1982
720,3,6943
721,3,13360
722,3,7055
723,3,2044
724,3,1992
725,3,16975
726,3,17029
727,3,9459
728,3,6933
729,3,10882
730,3,11838
731,3,16658
732,3,2719
733,3,2723
734,3,2138
735,3,6547
736,3,2733
737,3,2739
738,3,2745
739,3,16011
740,3,10635
741,3,2136
742,3,16155
743,3,6447
744,3,14953
745,3,1913
746,3,9259
747,3,1801
748,3,16120
749,3,2717
750,3,9159
751,3,10039
752,3,2181
753,3,15272
754,3,12303
755,3,15627
756,3,1877
757,3,9033
758,3,10104
759,3,10094
760,3,2684
761,3,2686
762,3,2700
763,3,15920
764,3,8990
765,3,2707
766,3,9104
767,3,2709
768,3,12251
769,3,1797
770,3,13193
771,3,12611
772,3,7403
773,3,14608
774,3,11965
775,3,1735
776,3,11964
777,3,1732
778,3,14512
779,3,4521
780,3,4431
781,3,9321
782,3,2091
783,3,11894
784,3,10861
785,3,6709
786,3,11820
787,3,7328
788,3,9971
789,3,2094
790,3,16523
791,3,1747
792,3,6816
793,3,9272
794,3,12144
795,3,6411
796,3,12122
797,3,12753
798,3,2120
799,3,1927
800,3,3151
801,3,16431
802,3,16454
803,3,12064
804,3,2114
805,3,12837
806,3,9313
807,3,12883
808,3,3290
809,3,2105
810,3,12618
811,3,13649
812,3,3
813,3,9680
814,3,256
815,3,47130
816,3,47129
817,3,1294
818,3,34942
819,3,282
820,3,34945
821,3,34946
822,3,45129
823,3,34950
824,3,1281
825,3,44406
826,3,34991
827,3,1264
828,3,35005
829,3,1259
830,3,42388
831,3,1256
832,3,328
833,3,1241
834,3,329
835,3,41931
836,3,338
837,3,1229
838,3,35064
839,3,34886
